fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.5;0.17;0.49;8.8;0.048;23.0;108.0;0.9947;2.88;0.34;10.5;4
8.5;0.2;0.4;1.1;0.046;31.0;106.0;0.99194;3.0;0.35;10.5;4
8.5;0.18;0.3;1.1;0.028;34.0;95.0;0.99272;2.83;0.36;10.0;4
9.2;0.35;0.39;0.9;0.042;15.0;61.0;0.9924;2.96;0.28;10.4;4
8.8;0.35;0.49;1.0;0.036;14.0;56.0;0.992;2.96;0.33;10.5;4
8.5;0.22;0.34;0.7;0.04;5.0;25.0;0.9918;3.04;0.37;10.5;4
10.3;0.17;0.47;1.4;0.037;5.0;33.0;0.9939;2.89;0.28;9.6;4
9.8;0.36;0.46;10.5;0.038;4.0;83.0;0.9956;2.89;0.3;10.1;4
9.2;0.28;0.49;11.8;0.042;29.0;137.0;0.998;3.1;0.34;10.1;4
8.2;0.29;0.49;1.0;0.044;29.0;118.0;0.9928;3.24;0.36;10.9;4
6.2;0.23;0.35;0.7;0.051;24.0;111.0;0.9916;3.37;0.43;11.0;4
6.8;0.27;0.29;4.6;0.046;6.0;88.0;0.99458;3.34;0.48;10.6;4
7.0;0.24;0.18;1.3;0.046;9.0;62.0;0.994;3.38;0.47;10.1;4
6.6;0.38;0.18;1.2;0.042;20.0;84.0;0.9927;3.22;0.45;10.1;4
6.5;0.48;0.02;0.9;0.043;32.0;99.0;0.99226;3.14;0.47;9.8;4
6.2;0.53;0.02;0.9;0.035;6.0;81.0;0.99234;3.24;0.35;9.5;4
6.1;0.6;0.0;1.3;0.042;24.0;79.0;0.9937;3.31;0.38;9.4;4
6.4;0.595;0.14;5.2;0.058;15.0;97.0;0.9951;3.38;0.36;9.0;4
6.8;0.64;0.08;9.7;0.062;26.0;142.0;0.9972;3.37;0.46;8.9;4
7.0;0.57;0.1;8.3;0.094;23.0;188.0;0.9972;3.4;0.47;9.2;4
7.6;0.56;0.12;10.4;0.096;22.0;177.0;0.9983;3.32;0.45;9.1;4
7.2;0.615;0.1;1.4;0.068;25.0;154.0;0.99499;3.2;0.48;9.7;4
6.8;0.63;0.04;1.3;0.058;25.0;133.0;0.99271;3.17;0.39;10.2;4
6.8;0.63;0.04;1.3;0.058;25.0;133.0;0.99271;3.17;0.39;10.2;4
6.0;0.59;0.0;0.8;0.037;30.0;95.0;0.99032;3.1;0.4;10.9;4
6.0;0.615;0.04;0.8;0.032;8.0;50.0;0.99036;3.14;0.4;11.0;4
5.9;0.655;0.0;5.6;0.033;8.0;31.0;0.9936;3.32;0.51;10.5;4
6.1;0.6;0.12;1.8;0.05;11.0;76.0;0.99268;3.42;0.48;10.4;4
5.3;0.47;0.1;1.3;0.036;11.0;74.0;0.99082;3.48;0.54;11.2;4
5.3;0.43;0.11;1.1;0.029;6.0;51.0;0.99076;3.51;0.48;11.2;4
5.2;0.405;0.15;1.45;0.038;10.0;44.0;0.99125;3.52;0.4;11.6;4
6.0;0.395;0.0;1.4;0.042;7.0;55.0;0.99135;3.37;0.38;11.2;4
6.0;0.33;0.18;3.0;0.036;5.0;85.0;0.99125;3.28;0.4;11.5;4
5.8;0.36;0.38;0.9;0.037;3.0;75.0;0.9904;3.28;0.34;11.4;4
6.0;0.35;0.46;0.9;0.033;9.0;65.0;0.98934;3.24;0.35;12.1;4
6.3;0.24;0.37;1.8;0.031;6.0;61.0;0.9897;3.3;0.34;12.2;4
6.9;0.39;0.4;4.6;0.022;5.0;19.0;0.9915;3.31;0.37;12.6;4
7.1;0.32;0.32;11.0;0.038;16.0;66.0;0.9937;3.24;0.4;11.5;4
7.3;0.49;0.32;5.2;0.043;18.0;104.0;0.9952;3.24;0.45;10.7;4
7.4;0.45;0.32;7.1;0.044;17.0;117.0;0.9962;3.32;0.41;10.4;4
7.6;0.33;0.36;2.1;0.034;26.0;172.0;0.9944;3.42;0.48;10.5;4
6.9;0.3;0.36;4.5;0.054;31.0;203.0;0.99513;3.4;0.57;10.4;4
6.9;0.3;0.29;1.3;0.053;24.0;189.0;0.99362;3.29;0.54;9.9;4
6.9;0.3;0.3;1.3;0.053;24.0;186.0;0.99361;3.29;0.54;9.9;4
6.9;0.2;0.34;1.9;0.043;25.0;136.0;0.9935;3.31;0.6;10.1;4
7.1;0.21;0.28;2.7;0.034;23.0;111.0;0.99405;3.35;0.64;10.2;4
7.1;0.21;0.28;2.7;0.034;23.0;111.0;0.99405;3.35;0.64;10.2;4
5.8;0.28;0.35;2.3;0.053;36.0;114.0;0.9924;3.28;0.5;10.2;4
5.8;0.28;0.18;1.2;0.058;7.0;108.0;0.99288;3.23;0.58;9.55;4
6.4;0.43;0.27;1.1;0.054;5.0;110.0;0.9939;3.24;0.52;9.1;4
6.2;0.43;0.49;6.4;0.045;12.0;115.0;0.9963;3.27;0.57;9.0;4
6.4;0.35;0.35;5.6;0.034;9.0;148.0;0.99441;3.17;0.5;9.8;4
6.3;0.27;0.51;7.6;0.049;35.0;200.0;0.99548;3.16;0.54;9.4;4
6.3;0.27;0.51;7.6;0.049;35.0;200.0;0.99548;3.16;0.54;9.4;4
6.5;0.28;0.35;9.8;0.067;61.0;180.0;0.9972;3.15;0.57;9.0;4
6.5;0.28;0.28;8.5;0.047;54.0;210.0;0.9962;3.09;0.54;8.9;4
7.3;0.36;0.54;13.3;0.054;63.0;193.0;0.99864;3.06;0.49;8.6;4
7.2;0.4;0.62;10.8;0.041;70.0;189.0;0.9976;3.08;0.49;8.6;4
7.2;0.4;0.62;10.8;0.041;70.0;189.0;0.9976;3.08;0.49;8.6;4
7.7;0.28;0.63;11.1;0.039;58.0;179.0;0.9979;3.08;0.44;8.8;4
7.5;0.26;0.59;11.8;0.046;58.0;164.0;0.99814;3.17;0.46;8.9;4
7.6;0.31;0.49;13.4;0.062;50.0;191.0;0.9989;3.22;0.53;9.0;4
8.1;0.28;0.46;15.4;0.059;32.0;177.0;1.0004;3.27;0.58;9.0;4
8.0;0.23;0.37;9.6;0.054;23.0;159.0;0.99795;3.32;0.47;9.8;4
6.8;0.26;0.34;15.1;0.06;42.0;162.0;0.99705;3.24;0.52;10.5;4
6.1;0.2;0.34;9.5;0.041;38.0;201.0;0.995;3.14;0.44;10.1;4
6.2;0.45;0.26;4.4;0.063;63.0;206.0;0.994;3.27;0.52;9.8;4
6.3;0.6;0.44;11.0;0.05;50.0;245.0;0.9972;3.19;0.57;9.3;4
6.8;0.44;0.37;5.1;0.047;46.0;201.0;0.9938;3.08;0.65;10.5;4
7.1;0.23;0.24;5.4;0.039;60.0;196.0;0.9948;3.19;0.78;10.0;4
7.4;0.17;0.4;5.5;0.037;34.0;161.0;0.9935;3.05;0.62;11.5;4
7.4;0.27;0.31;2.4;0.014;15.0;143.0;0.99094;3.03;0.65;12.0;4
6.9;0.41;0.22;4.2;0.031;10.0;102.0;0.993;3.0;0.86;11.6;4
6.9;0.39;0.22;4.3;0.03;10.0;102.0;0.993;3.0;0.87;11.6;4
6.5;0.32;0.48;8.0;0.026;18.0;88.0;0.99144;3.22;0.79;12.7;4
7.2;0.31;0.46;5.0;0.04;3.0;29.0;0.9906;3.04;0.53;12.5;4
7.2;0.32;0.47;5.1;0.044;19.0;65.0;0.991;3.03;0.41;12.6;4
8.3;0.33;0.42;1.15;0.033;18.0;96.0;0.9911;3.2;0.32;12.4;4
7.6;0.48;0.37;0.8;0.037;4.0;100.0;0.9902;3.03;0.39;11.4;4
6.8;0.73;0.2;6.6;0.054;25.0;65.0;0.99324;3.12;0.28;11.1;4
6.9;0.75;0.13;6.3;0.036;19.0;50.0;0.99312;3.09;0.25;11.1;4
8.0;0.55;0.17;8.2;0.04;13.0;60.0;0.9956;3.09;0.3;9.5;4
7.1;0.53;0.24;0.8;0.029;29.0;86.0;0.993;3.16;0.32;9.1;4
7.2;0.5;0.0;0.8;0.034;46.0;114.0;0.9932;3.19;0.34;9.2;4
6.0;0.67;0.07;1.2;0.06;9.0;108.0;0.9931;3.11;0.35;8.7;4
6.7;0.54;0.27;7.1;0.049;8.0;178.0;0.99502;3.16;0.38;9.4;4
6.7;0.54;0.27;7.1;0.049;8.0;178.0;0.99502;3.16;0.38;9.4;4
9.0;0.43;0.3;1.5;0.05;7.0;175.0;0.9951;3.11;0.45;9.7;4
9.1;0.59;0.38;1.6;0.066;34.0;182.0;0.9968;3.23;0.38;8.5;4
7.2;0.55;0.09;1.5;0.108;16.0;151.0;0.9938;3.07;0.57;9.2;4
6.4;0.37;0.12;5.9;0.056;6.0;91.0;0.99536;3.06;0.46;8.4;4
6.9;0.25;0.24;3.6;0.057;13.0;85.0;0.9942;2.99;0.48;9.5;4
6.9;0.25;0.24;3.6;0.057;13.0;85.0;0.9942;2.99;0.48;9.5;4
5.6;0.18;0.29;2.3;0.04;5.0;47.0;0.99126;3.07;0.45;10.1;4
6.9;0.19;0.6;4.0;0.037;6.0;122.0;0.99255;2.92;0.59;10.4;4
6.5;0.33;0.72;1.1;0.061;7.0;151.0;0.993;3.09;0.57;9.5;4
6.5;0.38;0.53;1.4;0.142;5.0;69.0;0.9926;3.14;0.52;10.1;4
6.5;0.29;0.25;2.5;0.142;8.0;111.0;0.9927;3.0;0.44;9.9;4
5.3;0.3;0.2;1.1;0.077;48.0;166.0;0.9944;3.3;0.54;8.7;4
4.2;0.215;0.23;5.1;0.041;64.0;157.0;0.99688;3.42;0.44;8.0;4
7.9;0.16;0.3;4.8;0.037;37.0;171.0;0.9967;3.47;0.44;9.0;4
6.9;0.26;0.49;1.6;0.058;39.0;166.0;0.9965;3.65;0.52;9.4;4
6.4;0.27;0.19;2.0;0.084;21.0;191.0;0.99516;3.49;0.63;9.6;4
6.4;0.27;0.19;1.9;0.085;21.0;196.0;0.99516;3.49;0.64;9.5;4
6.2;0.38;0.18;7.4;0.095;28.0;195.0;0.99773;3.53;0.71;9.2;4
6.3;0.38;0.17;8.8;0.08;50.0;212.0;0.99803;3.47;0.66;9.4;4
5.9;0.21;0.28;4.6;0.053;40.0;199.0;0.9964;3.72;0.7;10.0;4
6.7;0.25;0.26;1.55;0.041;118.5;216.0;0.9949;3.55;0.63;9.4;4
6.2;0.255;0.24;1.7;0.039;138.5;272.0;0.99452;3.53;0.53;9.6;4
6.8;0.29;0.16;1.4;0.038;122.5;234.5;0.9922;3.15;0.47;10.0;4
7.1;0.49;0.22;2.0;0.047;146.5;307.5;0.9924;3.24;0.37;11.0;4
9.4;0.24;0.29;8.5;0.037;124.0;208.0;0.99395;2.9;0.38;11.0;4
9.8;0.25;0.74;10.0;0.056;36.0;225.0;0.9977;3.06;0.43;10.0;4
10.2;0.44;0.88;6.2;0.049;20.0;124.0;0.9968;2.99;0.51;9.9;4
11.8;0.23;0.38;11.1;0.034;15.0;123.0;0.9997;2.93;0.55;9.7;4
6.0;0.11;0.47;10.6;0.052;69.0;148.0;0.9958;2.91;0.34;9.3;4
5.8;0.26;0.3;2.6;0.034;75.0;129.0;0.9902;3.2;0.38;11.5;4
5.8;0.24;0.44;3.5;0.029;5.0;109.0;0.9913;3.53;0.43;11.7;4
6.7;0.31;0.31;9.9;0.04;10.0;175.0;0.9953;3.46;0.55;11.4;4
6.1;0.32;0.37;1.8;0.051;13.0;200.0;0.9945;3.49;0.44;10.5;4
7.0;0.61;0.26;1.7;0.051;25.0;161.0;0.9946;3.36;0.6;10.6;4
7.1;0.64;0.49;1.8;0.05;17.0;128.0;0.9946;3.31;0.58;10.6;4
8.2;0.68;0.3;2.1;0.047;17.0;138.0;0.995;3.22;0.71;10.8;4
9.8;0.93;0.45;8.6;0.052;34.0;187.0;0.9994;3.12;0.59;10.2;4
10.0;0.91;0.42;1.6;0.056;34.0;181.0;0.9968;3.11;0.46;10.0;4
9.9;1.005;0.46;1.4;0.046;34.0;185.0;0.9966;3.02;0.49;10.2;4
8.0;0.66;0.72;17.55;0.042;62.0;233.0;0.9999;2.92;0.68;9.4;4
8.6;0.55;0.35;15.55;0.057;35.5;366.5;1.0001;3.04;0.63;11.0;4
7.9;0.64;0.46;10.6;0.244;33.0;227.0;0.9983;2.87;0.74;9.1;4
6.8;0.67;0.3;13.0;0.29;22.0;193.0;0.9984;3.08;0.67;9.0;4
6.8;0.705;0.25;3.2;0.048;10.0;57.0;0.996;3.36;0.52;9.5;4
6.5;0.52;0.17;1.4;0.047;5.0;26.0;0.9932;3.26;0.32;10.0;4
5.5;0.485;0.0;1.5;0.065;8.0;103.0;0.994;3.63;0.4;9.7;4
4.8;0.65;0.12;1.1;0.013;4.0;10.0;0.99246;3.32;0.36;13.5;4
6.2;0.47;0.21;1.0;0.044;13.0;98.0;0.99345;3.14;0.46;9.2;5
6.3;0.41;0.16;0.9;0.032;25.0;98.0;0.99274;3.16;0.42;9.5;5
6.8;0.34;0.1;1.4;0.049;29.0;118.0;0.9936;3.21;0.41;9.5;5
6.4;0.34;0.1;1.1;0.048;19.0;84.0;0.9927;3.21;0.38;9.8;5
6.4;0.41;0.01;6.1;0.048;20.0;70.0;0.99362;3.19;0.42;10.0;5
6.4;0.41;0.01;6.1;0.048;20.0;70.0;0.99362;3.19;0.42;10.0;5
5.9;0.36;0.04;5.7;0.046;21.0;87.0;0.9934;3.22;0.51;10.2;5
5.9;0.37;0.1;1.6;0.057;39.0;128.0;0.9924;3.24;0.48;10.1;5
6.4;0.39;0.21;1.2;0.041;35.0;136.0;0.99225;3.15;0.46;10.2;5
6.7;0.31;0.09;1.4;0.039;53.0;141.0;0.99206;3.12;0.44;10.1;5
6.6;0.31;0.07;1.5;0.033;55.0;144.0;0.99208;3.16;0.42;10.0;5
6.7;0.31;0.08;1.3;0.038;58.0;147.0;0.9922;3.18;0.46;10.0;5
6.8;0.31;0.09;1.4;0.04;56.0;145.0;0.9922;3.19;0.46;10.0;5
6.7;0.28;0.14;1.4;0.043;64.0;159.0;0.992;3.17;0.39;10.0;5
6.8;0.27;0.12;1.3;0.04;87.0;168.0;0.992;3.18;0.41;10.0;5
6.8;0.27;0.12;1.3;0.04;87.0;168.0;0.992;3.18;0.41;10.0;5
6.7;0.25;0.13;1.2;0.041;81.0;174.0;0.992;3.14;0.42;9.8;5
6.6;0.17;0.28;1.8;0.042;62.0;178.0;0.99204;3.15;0.42;10.2;5
6.3;0.18;0.22;1.5;0.043;45.0;155.0;0.99238;3.19;0.48;10.2;5
6.1;0.2;0.25;1.2;0.038;34.0;128.0;0.9921;3.24;0.44;10.1;5
5.8;0.22;0.3;1.1;0.047;36.0;131.0;0.992;3.26;0.45;10.4;5
5.4;0.24;0.18;2.3;0.05;22.0;145.0;0.99207;3.24;0.46;10.3;5
5.9;0.22;0.18;6.4;0.041;28.0;120.0;0.99403;3.27;0.5;9.9;5
5.5;0.17;0.23;2.9;0.039;10.0;108.0;0.99243;3.28;0.5;10.0;5
5.5;0.17;0.23;2.9;0.039;10.0;108.0;0.99243;3.28;0.5;10.0;5
5.5;0.12;0.33;1.0;0.038;23.0;131.0;0.99164;3.25;0.45;9.8;5
5.5;0.12;0.33;1.0;0.038;23.0;131.0;0.99164;3.25;0.45;9.8;5
5.7;0.1;0.27;1.3;0.047;21.0;100.0;0.9928;3.27;0.46;9.5;5
5.7;0.14;0.3;5.4;0.045;26.0;105.0;0.99469;3.32;0.45;9.3;5
5.6;0.12;0.26;4.3;0.038;18.0;97.0;0.99477;3.36;0.46;9.2;5
5.5;0.14;0.27;4.6;0.029;22.0;104.0;0.9949;3.34;0.44;9.0;5
5.5;0.14;0.27;4.6;0.029;22.0;104.0;0.9949;3.34;0.44;9.0;5
5.3;0.165;0.24;1.1;0.051;25.0;105.0;0.9925;3.32;0.47;9.1;5
5.7;0.18;0.22;4.2;0.042;25.0;111.0;0.994;3.35;0.39;9.4;5
6.8;0.18;0.21;5.4;0.053;34.0;104.0;0.99445;3.3;0.43;9.4;5
7.0;0.12;0.19;4.9;0.055;27.0;127.0;0.9953;3.29;0.41;9.4;5
6.6;0.15;0.34;5.1;0.055;34.0;125.0;0.9942;3.36;0.42;9.6;5
6.9;0.19;0.35;5.0;0.067;32.0;150.0;0.995;3.36;0.48;9.8;5
6.4;0.16;0.31;5.3;0.043;42.0;157.0;0.99455;3.35;0.47;10.5;5
6.7;0.17;0.27;1.4;0.032;39.0;149.0;0.99254;3.4;0.52;10.5;5
6.9;0.18;0.33;1.0;0.054;24.0;164.0;0.9926;3.42;0.51;10.5;5
7.2;0.15;0.39;1.8;0.043;21.0;159.0;0.9948;3.52;0.47;10.0;5
7.2;0.15;0.39;1.8;0.043;21.0;159.0;0.9948;3.52;0.47;10.0;5
7.6;0.18;0.36;2.4;0.049;38.0;123.0;0.996;3.6;0.46;10.3;5
7.6;0.18;0.36;2.4;0.049;38.0;123.0;0.996;3.6;0.46;10.3;5
6.0;0.16;0.3;6.7;0.043;43.0;153.0;0.9951;3.63;0.46;10.6;5
6.0;0.16;0.3;6.7;0.043;43.0;153.0;0.9951;3.63;0.46;10.6;5
6.0;0.24;0.32;6.3;0.03;34.0;129.0;0.9946;3.52;0.41;10.4;5
6.4;0.22;0.32;7.9;0.029;34.0;124.0;0.9948;3.4;0.39;10.2;5
6.4;0.26;0.22;5.1;0.037;23.0;131.0;0.9944;3.29;0.32;10.1;5
7.0;0.24;0.3;6.7;0.039;37.0;125.0;0.99436;3.2;0.39;9.9;5
6.6;0.24;0.35;7.7;0.031;36.0;135.0;0.9938;3.19;0.37;10.5;5
6.6;0.24;0.35;7.7;0.031;36.0;135.0;0.9938;3.19;0.37;10.5;5
6.8;0.24;0.34;4.6;0.032;37.0;135.0;0.9927;3.2;0.39;10.6;5
6.6;0.21;0.34;5.6;0.046;30.0;140.0;0.99299;3.22;0.38;11.0;5
6.4;0.16;0.32;8.75;0.038;38.0;118.0;0.99449;3.19;0.41;10.7;5
6.0;0.21;0.3;8.7;0.036;47.0;127.0;0.99368;3.18;0.39;10.6;5
6.0;0.21;0.3;8.7;0.036;47.0;127.0;0.99368;3.18;0.39;10.6;5
6.1;0.22;0.25;12.1;0.035;54.0;135.0;0.99481;3.21;0.4;10.7;5
6.3;0.21;0.29;11.7;0.048;49.0;147.0;0.99482;3.22;0.38;10.8;5
6.4;0.22;0.3;11.2;0.046;53.0;149.0;0.99479;3.21;0.34;10.8;5
6.3;0.2;0.37;11.8;0.045;58.0;130.0;0.99519;3.2;0.35;10.8;5
6.4;0.22;0.31;13.9;0.04;57.0;135.0;0.99672;3.21;0.38;10.7;5
6.6;0.22;0.34;11.6;0.05;59.0;140.0;0.99526;3.22;0.4;10.8;5
6.9;0.23;0.32;16.4;0.045;62.0;153.0;0.9972;3.22;0.42;10.5;5
6.1;0.22;0.28;16.55;0.059;54.0;135.0;0.99665;3.2;0.38;10.5;5
6.4;0.21;0.34;16.05;0.04;56.0;142.0;0.99678;3.11;0.38;10.6;5
6.1;0.15;0.35;15.8;0.042;55.0;158.0;0.99642;3.24;0.37;10.6;5
6.5;0.2;0.24;9.2;0.044;25.0;150.0;0.99502;3.22;0.44;10.5;5
6.3;0.25;0.27;6.6;0.054;40.0;158.0;0.99378;3.2;0.48;10.3;5
6.4;0.28;0.23;6.0;0.051;50.0;162.0;0.994;3.15;0.52;10.2;5
6.1;0.28;0.27;8.0;0.048;41.0;162.0;0.99498;3.21;0.51;9.9;5
5.8;0.27;0.2;7.3;0.04;42.0;145.0;0.99442;3.15;0.48;9.8;5
5.8;0.34;0.21;7.2;0.041;48.0;146.0;0.99441;3.16;0.49;9.8;5
5.6;0.3;0.1;6.4;0.043;34.0;142.0;0.99382;3.14;0.48;9.8;5
5.8;0.3;0.09;6.3;0.042;36.0;138.0;0.99382;3.15;0.48;9.7;5
6.2;0.33;0.14;4.8;0.052;27.0;128.0;0.99475;3.21;0.48;9.4;5
6.2;0.33;0.14;4.8;0.052;27.0;128.0;0.99475;3.21;0.48;9.4;5
6.5;0.31;0.14;7.5;0.044;34.0;133.0;0.9955;3.22;0.5;9.5;5
6.3;0.3;0.24;6.6;0.04;38.0;141.0;0.995;3.22;0.47;9.5;5
6.2;0.24;0.22;7.9;0.053;45.0;149.0;0.99545;3.23;0.52;9.3;5
6.2;0.24;0.22;7.9;0.053;45.0;149.0;0.99545;3.23;0.52;9.3;5
6.4;0.24;0.23;7.3;0.069;31.0;157.0;0.9962;3.25;0.53;9.1;5
6.2;0.24;0.25;12.5;0.055;47.0;134.0;0.99758;3.3;0.51;9.0;5
6.2;0.21;0.26;13.1;0.05;59.0;150.0;0.99772;3.31;0.46;9.0;5
6.1;0.25;0.24;12.1;0.046;51.0;172.0;0.998;3.35;0.45;9.5;5
6.0;0.29;0.2;12.6;0.045;45.0;187.0;0.9972;3.33;0.42;9.5;5
5.9;0.25;0.19;12.4;0.047;50.0;162.0;0.9973;3.35;0.38;9.5;5
6.0;0.21;0.24;12.1;0.05;55.0;164.0;0.997;3.34;0.39;9.4;5
5.9;0.23;0.3;12.9;0.054;57.0;170.0;0.9972;3.28;0.39;9.4;5
5.9;0.21;0.24;12.1;0.044;53.0;165.0;0.9969;3.25;0.39;9.5;5
5.8;0.25;0.26;13.1;0.051;44.0;148.0;0.9972;3.29;0.38;9.3;5
5.8;0.25;0.24;13.3;0.044;41.0;137.0;0.9972;3.34;0.42;9.5;5
5.9;0.26;0.25;12.5;0.034;38.0;152.0;0.9977;3.33;0.43;9.4;5
6.4;0.24;0.28;11.5;0.05;34.0;163.0;0.9969;3.31;0.45;9.5;5
6.4;0.24;0.29;11.4;0.051;32.0;166.0;0.9968;3.31;0.45;9.5;5
6.7;0.24;0.33;12.3;0.046;31.0;145.0;0.9983;3.36;0.4;9.5;5
6.7;0.24;0.33;12.3;0.046;31.0;145.0;0.9983;3.36;0.4;9.5;5
6.6;0.22;0.28;12.05;0.058;25.0;125.0;0.99856;3.45;0.45;9.4;5
6.0;0.21;0.29;13.1;0.042;28.0;125.0;0.99936;3.39;0.45;8.6;5
6.8;0.24;0.31;18.3;0.046;40.0;142.0;1.0;3.3;0.41;8.7;5
6.8;0.24;0.31;18.3;0.046;40.0;142.0;1.0;3.3;0.41;8.7;5
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
7.0;0.23;0.42;18.05;0.05;35.0;144.0;0.9999;3.22;0.42;8.8;5
7.0;0.23;0.42;18.05;0.05;35.0;144.0;0.9999;3.22;0.42;8.8;5
